path;fail rate in %;bot share in %
initialize,begin editing,check,insert document,save,finish editing,save,finish editing,finish editing;0.0;22.22
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,finish editing,finish editing,save,finish editing;0.0;63.64
initialize,begin editing,check,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing;0.0;12.5
initialize,begin editing,check,insert document,save,check,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,save,save,save,save,save,finish editing,save,save,save,check,finish editing;0.0;7.69
initialize,begin editing,check,check,check,insert document,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;56.25
initialize,begin editing,insert document,save,save,save,save,insert document,save,check,check,finish editing,save,finish editing,save,finish editing;0.0;12.5
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,check,finish editing;0.0;67.74
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,check,finish editing;0.0;50.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,save,finish editing;0.0;57.14
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;70.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing;0.0;53.85
initialize,begin editing,check,check,insert document,save,finish editing;0.0;42.86
initialize,begin editing,insert document,save,check,finish editing,check,check,finish editing,check,finish editing,save,finish editing;0.0;15.38
initialize,begin editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing,finish editing,finish editing,finish editing,finish editing,save,check,finish editing;0.0;7.69
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;84.21
initialize,begin editing,save,save,finish editing,insert document,save,save,check,finish editing,save,check,finish editing;0.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,finish editing;0.0;25.81
initialize,begin editing,save,save,finish editing,finish editing;0.0;16.67
initialize,begin editing,save,insert document,save,save,finish editing,save,finish editing,save,save,save,save,save,save,finish editing;0.0;18.75
initialize,begin editing,insert document,save,finish editing,save,check,finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,finish editing,save,check,finish editing,check,finish editing,save,finish editing,save,finish editing;0.0;32.14
initialize,begin editing,save,save,save,check,save,check,check,check,finish editing;0.0;9.09
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing;0.0;53.85
initialize,begin editing,save,check,check,finish editing,insert document,save,finish editing,finish editing;0.0;20.0
initialize,begin editing,insert document,save,save,save,finish editing,finish editing;0.0;25.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,check,finish editing;0.0;72.41
initialize,begin editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing,save,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing;0.0;7.69
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;11.76
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,change department;0.0;93.33
initialize,begin editing,save,insert document,save,check,save,check,insert document,save,save,check,finish editing;0.0;0.0
initialize,begin editing,check,insert document,save,check,check,check,save,check,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;7.69
initialize,begin editing,check,finish editing,insert document,save,save,save,finish editing;0.0;22.22
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,check,check,finish editing,save,check,finish editing;0.0;53.85
initialize,begin editing,insert document,save,check,check,finish editing,save,finish editing,finish editing,save,finish editing,check,finish editing,save,finish editing,save,finish editing,finish editing;0.0;10.53
initialize,begin editing,check,finish editing,insert document,save,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;11.76
initialize,begin editing,insert document,save,check,save,finish editing,save,finish editing,save,finish editing,finish editing;0.0;16.67
initialize,begin editing,check,insert document,save,check,save,finish editing;0.0;25.0
initialize,begin editing,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,save,save,finish editing,save,save,finish editing,save,finish editing,save,finish editing,finish editing;0.0;45.45
initialize,begin editing,insert document,save,save,save,save,save,save,check,check,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing;0.0;8.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,check,finish editing,finish editing;0.0;66.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,finish editing,save,check,check,finish editing,save,save,save,check,finish editing;0.0;50.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,insert document,save,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;38.1
initialize,begin editing,insert document,save,insert document,save,save,save,save,save,finish editing;0.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,save,check,finish editing,save,check,finish editing;0.0;56.0
initialize,begin editing,save,insert document,save,save,save,insert document,save,check,insert document,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,save,check,finish editing,save,finish editing,save,finish editing;0.0;0.0
initialize,begin editing,insert document,save,save,save,check,finish editing,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;12.5
initialize,insert document,save,begin editing,save,save,save,finish editing,insert document,save,finish editing;0.0;0.0
initialize,begin editing,insert document,save,save,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;15.38
initialize,begin editing,insert document,save,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;12.5
initialize,begin editing,check,finish editing,save,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing;0.0;15.38
initialize,begin editing,insert document,save,save,save,save,save,finish editing,save,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;8.0
initialize,begin editing,insert document,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;42.86
initialize,begin editing,insert document,save,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing;0.0;13.33
initialize,begin editing,insert document,save,save,save,finish editing,check,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;45.0
initialize,begin editing,insert document,save,save,insert document,save,save,finish editing;0.0;0.0
initialize,begin editing,save,check,insert document,save,check,insert document,save,check,insert document,save,check,finish editing;0.0;0.0
initialize,begin editing,insert document,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,finish editing;0.0;56.25
initialize,insert document,save,begin editing,save,save,save,save,save,save,save,save,save,save,save,save,save,save,check,finish editing,insert document,save,check,finish editing;0.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;75.0
initialize,begin editing,finish editing,save,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing,save,finish editing;0.0;52.94
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;87.5
initialize,begin editing,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,check,finish editing;0.0;52.94
initialize,begin editing,insert document,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,check,finish editing,save,check,finish editing,save,save,finish editing,save,finish editing,finish editing;0.0;7.41
initialize,begin editing,insert document,save,save,check,check,check,check,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;11.76
initialize,begin editing,save,save,save,save,insert document,save,save,finish editing,save,finish editing;0.0;0.0
initialize,begin editing,insert document,save,save,check,check,finish editing,save,finish editing,save,finish editing;0.0;16.67
initialize,begin editing,insert document,save,save,check,finish editing,save,save,save,finish editing,save,finish editing;0.0;15.38
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;87.5
initialize,begin editing,check,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;94.44
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,check,finish editing,save,finish editing;0.0;66.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,insert document,save,check,finish editing;0.0;56.0
initialize,begin editing,insert document,save,save,save,save,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;30.77
initialize,begin editing,insert document,save,check,check,check,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,save,save,finish editing,save,check,finish editing,save,finish editing;0.0;33.33
initialize,begin editing,check,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;85.71
initialize,begin editing,check,finish editing,finish editing;0.0;40.0
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,check,finish editing;0.0;9.09
initialize,begin editing,insert document,save,check,check,save,finish editing;0.0;25.0
initialize,begin editing,save,insert document,save,check,finish editing,save,finish editing,save,finish editing;0.0;18.18
initialize,begin editing,check,check,check,insert document,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;92.86
initialize,begin editing,insert document,save,save,save,check,check,insert document,save,save,save,check,finish editing;0.0;0.0
initialize,begin editing,finish editing,insert document,save,finish editing,save,check,finish editing,save,finish editing,save,save,check,finish editing,insert document,save;0.0;11.76
initialize,begin editing,check,insert document,save,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;12.5
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,finish editing,save,finish editing;0.0;63.64
initialize,begin editing,save,insert document,save,save,insert document,save,finish editing;0.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;78.57
initialize,begin editing,insert document,save,check,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;45.45
initialize,begin editing,save,finish editing,save,finish editing,insert document,save,finish editing;0.0;22.22
initialize,begin editing,insert document,save,save,check,finish editing,save,finish editing,finish editing,save,finish editing;0.0;16.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,check,finish editing,save,save,finish editing,save,check,finish editing;0.0;53.85
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,check,finish editing,insert document,save,check,save,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,finish editing;0.0;43.75
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,save,finish editing;0.0;53.85
initialize,begin editing,insert document,save,check,save,check,save,save,save,finish editing,save,save,save,save,check,finish editing,save,finish editing,save,finish editing,save,check,finish editing,save,check,finish editing,finish editing;0.0;7.14
initialize,begin editing,insert document,save,check,save,check,finish editing,save,check,finish editing,finish editing,save,finish editing;0.0;14.29
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,finish editing,save,finish editing,finish editing;0.0;66.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,finish editing;0.0;82.35
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;0.0;87.5
initialize,begin editing,check,insert document,save,check,finish editing,finish editing,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,save,check,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing;0.0;13.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,finish editing,save,finish editing;0.0;66.67
initialize,begin editing,insert document,save,finish editing,save,finish editing,insert document,save;0.0;22.22
initialize,begin editing,insert document,save,check,finish editing,save,save,finish editing,check,finish editing,finish editing,save,check,finish editing;0.0;13.33
initialize,begin editing,insert document,save,save,finish editing,save,check,finish editing,save,check,finish editing;0.0;16.67
initialize,begin editing,save,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;15.38
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;45.0
initialize,begin editing,insert document,save,save,save,check,save,finish editing,finish editing,finish editing,finish editing,finish editing,finish editing,finish editing;0.0;13.33
initialize,begin editing,insert document,save,save,save,save,save,save,save,save,check,finish editing,save,finish editing,finish editing,save,save,save,save,check,finish editing;0.0;9.09
initialize,begin editing,insert document,save,save,save,check,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing;0.0;75.0
initialize,begin editing,check,insert document,save,save,check,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;0.0;47.37
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,finish editing,save,save,save,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;61.76
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing,save,finish editing,save,check,finish editing;0.0;52.94
initialize,begin editing,save,save,save,save,save,save,save,save,save,finish editing,insert document,save,save,finish editing;0.0;0.0
initialize,begin editing,finish editing,insert document,save,finish editing,save,save,finish editing;0.0;22.22
initialize,insert document,save,begin editing,save,check,check,insert document,save,save,check,finish editing;0.0;25.0
initialize,begin editing,finish editing,save,finish editing,finish editing,insert document,save,finish editing,save,save,finish editing;0.0;16.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,check,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;67.74
initialize,begin editing,save,insert document,save,save,check,save,check,finish editing,save,save,finish editing,save,save,finish editing,save,finish editing;0.0;11.11
initialize,begin editing,check,insert document,save,check,finish editing,finish editing,save,check,finish editing,save,check,finish editing,finish editing,finish editing;0.0;12.5
initialize,begin editing,insert document,save,check,save,save,save,finish editing,save,check,finish editing,save,finish editing;0.0;28.57
initialize,begin editing,insert document,save,save,check,finish editing,finish editing,finish editing,save,finish editing;0.0;18.18
initialize,begin editing,insert document,save,check,finish editing,save,save,finish editing,save,finish editing,save,finish editing;0.0;15.38
initialize,begin editing,save,insert document,save,save,save,check,check,finish editing;0.0;0.0
initialize,begin editing,insert document,save,save,save,check,save,check,finish editing,save,finish editing,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,check,insert document,save,save,save,save,save,check,finish editing,save,check,finish editing;0.0;14.29
initialize,begin editing,check,save,insert document,save,check,check,save,finish editing,save,finish editing;0.0;16.67
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,save,save,check,finish editing,save,check,finish editing;0.0;58.33
initialize,begin editing,check,insert document,save,finish editing,save,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;52.94
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,save,finish editing,insert document,save,finish editing;0.0;70.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,check,finish editing,save,check,finish editing,save,check,finish editing,finish editing;0.0;50.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,save,finish editing,save,finish editing,save,finish editing;0.0;60.87
initialize,begin editing,insert document,save,check,save,check,finish editing,save,check,check,finish editing,save,finish editing,save,finish editing;0.0;12.5
initialize,begin editing,save,save,save,insert document,save,save,save,finish editing,insert document,save,save,finish editing;0.0;7.14
initialize,begin editing,check,insert document,save,finish editing,save,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,save,finish editing;0.0;45.0
initialize,begin editing,check,insert document,save,save,save,check,check,check,finish editing,save,finish editing,save,check,finish editing;0.0;12.5
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,finish editing,finish editing;0.0;66.67
initialize,begin editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,finish editing;0.0;18.18
initialize,begin editing,insert document,save,insert document,save,check,finish editing,save,check,finish editing;0.0;0.0
initialize,begin editing,check,insert document,save,check,save,check,finish editing,save,finish editing;0.0;18.18
initialize,begin editing,insert document,save,finish editing,save,finish editing,finish editing,finish editing,save,finish editing,save,finish editing;0.0;15.38
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,insert document,save,save,check,check,finish editing,save,check,finish editing;0.0;58.33
initialize,begin editing,finish editing,insert document,save,check,finish editing,finish editing,save,check,finish editing;0.0;18.18
initialize,begin editing,insert document,save,save,save,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,save,finish editing,save,finish editing;0.0;8.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,check,insert document,save,check,save,check,finish editing,save,finish editing;0.0;44.44
initialize,begin editing,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,save,check,finish editing,finish editing,save,check,finish editing;0.0;45.0
initialize,begin editing,insert document,save,check,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing;0.0;52.94
initialize,begin editing,insert document,save,save,insert document,save,check,finish editing;0.0;0.0
initialize,begin editing,insert document,save,save,check,finish editing,finish editing,save,check,finish editing,save,finish editing;0.0;15.38
initialize,begin editing,save,insert document,save,save,insert document,save,save,save,save,save,save,save,check,finish editing,save,check,finish editing;0.0;0.0
initialize,begin editing,insert document,save,check,insert document,save,finish editing;0.0;12.5
initialize,begin editing,save,insert document,save,save,insert document,save,save,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;35.0
initialize,begin editing,insert document,save,check,finish editing,save,save,check,finish editing,save,check,finish editing,save,finish editing;0.0;13.33
initialize,begin editing,check,insert document,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;84.62
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,insert document,save,save,check,finish editing,save,check,finish editing;0.0;58.33
initialize,begin editing,insert document,save,check,check,save,check,check,finish editing,save,check,finish editing,save,check,finish editing,save,check,finish editing,save,finish editing,save,check,finish editing;0.0;8.33
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,check,finish editing,finish editing,save,check,finish editing;0.0;63.64
initialize,begin editing,check,insert document,save,check,finish editing,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;52.94
initialize,begin editing,save,check,save,save,check,finish editing;0.0;12.5
initialize,begin editing,save,save,check,check,check,finish editing,insert document,save,finish editing;0.0;0.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing;0.0;86.96
initialize,begin editing,save,insert document,save,save,save,save,save,check,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;0.0;36.84
initialize,begin editing,check,insert document,save,check,save,check,finish editing,save,finish editing,save,finish editing;0.0;46.15
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing,check,finish editing;0.0;77.78
initialize,begin editing,save,finish editing,insert document,save,finish editing,save,finish editing,finish editing,save,check,finish editing,finish editing,save,finish editing,save,finish editing,finish editing,save,finish editing;0.0;9.52
initialize,begin editing,finish editing,finish editing,save,finish editing,insert document,save,check,finish editing;0.0;20.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,check,save,finish editing;0.0;72.73
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,check,finish editing,insert document,save,check,finish editing,save,check,finish editing;0.0;58.33
initialize,begin editing,insert document,save,save,save,check,save,check,check,check,finish editing,save,check,finish editing;0.0;26.67
initialize,begin editing,insert document,save,save,check,finish editing,save,check,finish editing;0.0;20.0
initialize,begin editing,insert document,save,save,save,check,check,finish editing;0.0;22.22
initialize,begin editing,insert document,save,finish editing,save,finish editing,finish editing;0.0;25.0
initialize,begin editing,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,finish editing,insert document,save,finish editing,save,finish editing;0.0;57.14
initialize,begin editing,finish editing,insert document,save,check,finish editing,save,finish editing,save,finish editing,save,save,finish editing,save,finish editing;0.0;12.5
initialize,begin editing,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,insert document,save,finish editing;0.0;69.23
initialize,begin editing,insert document,save,save,check,finish editing,save,start auto finish editing,check mandatory fields,check spelling,check consistency,end auto finish editing,finish editing,save,finish editing;0.0;53.12
